City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Sunland Park,US,84.65,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
328,Saint-Joseph,RE,68.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
330,Chapais,CA,55.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
331,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
332,Visby,SE,55.85,mist,57.6409,18.296,Best Western Solhem Hotel Visby
333,Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,Hotel do Campo
334,Novo Aripuana,BR,84.29,overcast clouds,-5.1206,-60.3797,POUSADA Flexy
335,Tocopilla,CL,64.54,overcast clouds,-22.092,-70.1979,Hotel Galvarino
336,Inirida,CO,74.44,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
337,Warrnambool,AU,54.81,overcast clouds,-38.3833,142.4833,Lady Bay Resort
338,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
340,Haldibari,IN,77.18,scattered clouds,26.3333,88.7667,Rahul and Debika
342,Kouroussa,GN,74.3,broken clouds,10.65,-9.8833,Hotel Paillote
344,Sawakin,SD,82.74,clear sky,19.1059,37.3321,فندق الدويم
347,Presidente Medici,BR,79.54,few clouds,-11.1753,-61.9014,Oliveira Palace Hotel
348,Bethel,US,64.71,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
350,La Joya,MX,74.71,clear sky,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
352,Comodoro Rivadavia,AR,58.86,clear sky,-45.8667,-67.5,Austral Hotel
353,Sibu,MY,80.91,few clouds,2.3,111.8167,RH HOTEL (4 Star)
354,Goderich,CA,64.72,overcast clouds,43.7501,-81.7165,Harmony Inn
362,Pacific Grove,US,68.58,clear sky,36.6177,-121.9166,Lovers Point Inn
365,Chauk,MM,82.54,scattered clouds,20.8833,94.8167,Bo Khin Guest House
366,Banda Aceh,ID,80.46,overcast clouds,5.5577,95.3222,Sulthan Hotel International
367,Buin,CL,68.74,clear sky,-33.7333,-70.75,Paihuen
368,Lata,PT,59.07,clear sky,40.1629,-8.3327,Casa Maquia
